model_name,horizon,seed,input_len,epochs,batch_size,lr,evaluation_protocol,test_mse,test_mae,best_epoch,best_validation_mse_norm,final_train_mse_norm,test_windows,validation_windows,train_windows,checkpoint_path
pvg_itransformer,90,42,90,30,32,0.001,fixed_holdout,239729.90625,398.0897521972656,16,0.5272548364988272,0.2858747207388586,1,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h90_seed42_best_validation.pt
pvg_itransformer,90,42,90,30,32,0.001,rolling_origin,160610.40625,311.822265625,16,0.5272548364988272,0.2858747207388586,415,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h90_seed42_best_validation.pt
pvg_itransformer,90,43,90,30,32,0.001,fixed_holdout,181880.125,359.2651672363281,11,0.5187700164058934,0.27954017933534114,1,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h90_seed43_best_validation.pt
pvg_itransformer,90,43,90,30,32,0.001,rolling_origin,147373.046875,299.1787109375,11,0.5187700164058934,0.27954017933534114,415,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h90_seed43_best_validation.pt
pvg_itransformer,90,44,90,30,32,0.001,fixed_holdout,171778.109375,342.9460754394531,12,0.537135124206543,0.2781521817859338,1,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h90_seed44_best_validation.pt
pvg_itransformer,90,44,90,30,32,0.001,rolling_origin,150659.59375,304.6020812988281,12,0.537135124206543,0.2781521817859338,415,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h90_seed44_best_validation.pt
pvg_itransformer,90,45,90,30,32,0.001,fixed_holdout,285992.625,445.2879333496094,21,0.5334082468264345,0.2840547056830659,1,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h90_seed45_best_validation.pt
pvg_itransformer,90,45,90,30,32,0.001,rolling_origin,171078.8125,327.86053466796875,21,0.5334082468264345,0.2840547056830659,415,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h90_seed45_best_validation.pt
pvg_itransformer,90,46,90,30,32,0.001,fixed_holdout,150533.265625,310.8456726074219,18,0.5410784331784733,0.28307244181632996,1,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h90_seed46_best_validation.pt
pvg_itransformer,90,46,90,30,32,0.001,rolling_origin,169611.359375,327.8573303222656,18,0.5410784331784733,0.28307244181632996,415,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h90_seed46_best_validation.pt
lstm,365,42,90,30,32,0.001,fixed_holdout,160712.453125,319.22760009765625,13,0.5923354029655457,0.37970373798639345,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h365_seed42_best_validation.pt
lstm,365,42,90,30,32,0.001,rolling_origin,303699.46875,433.73272705078125,13,0.5923354029655457,0.37970373798639345,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h365_seed42_best_validation.pt
lstm,365,43,90,30,32,0.001,fixed_holdout,164886.5,326.8218994140625,13,0.5773618817329407,0.3749340033938742,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h365_seed43_best_validation.pt
lstm,365,43,90,30,32,0.001,rolling_origin,267468.0,405.3255310058594,13,0.5773618817329407,0.3749340033938742,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h365_seed43_best_validation.pt
lstm,365,44,90,30,32,0.001,fixed_holdout,160228.75,314.6160888671875,16,0.5886408090591431,0.3755164054723886,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h365_seed44_best_validation.pt
lstm,365,44,90,30,32,0.001,rolling_origin,316031.0625,444.5003662109375,16,0.5886408090591431,0.3755164054723886,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h365_seed44_best_validation.pt
lstm,365,45,90,30,32,0.001,fixed_holdout,151893.5625,306.3060302734375,13,0.5813486576080322,0.38368015284212226,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h365_seed45_best_validation.pt
lstm,365,45,90,30,32,0.001,rolling_origin,285604.4375,418.531005859375,13,0.5813486576080322,0.38368015284212226,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h365_seed45_best_validation.pt
lstm,365,46,90,30,32,0.001,fixed_holdout,151190.578125,306.46002197265625,15,0.608176052570343,0.37605442246820175,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h365_seed46_best_validation.pt
lstm,365,46,90,30,32,0.001,rolling_origin,316245.75,444.801513671875,15,0.608176052570343,0.37605442246820175,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h365_seed46_best_validation.pt
transformer,365,42,90,30,32,0.001,fixed_holdout,160251.6875,312.1170349121094,13,0.5709055066108704,0.3969184094005161,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/transformer_h365_seed42_best_validation.pt
transformer,365,42,90,30,32,0.001,rolling_origin,407349.0,517.0284423828125,13,0.5709055066108704,0.3969184094005161,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/transformer_h365_seed42_best_validation.pt
transformer,365,43,90,30,32,0.001,fixed_holdout,161844.0625,308.2944030761719,13,0.5838528871536255,0.3912817522501334,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/transformer_h365_seed43_best_validation.pt
transformer,365,43,90,30,32,0.001,rolling_origin,381597.84375,496.2569885253906,13,0.5838528871536255,0.3912817522501334,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/transformer_h365_seed43_best_validation.pt
transformer,365,44,90,30,32,0.001,fixed_holdout,141129.71875,289.8276062011719,17,0.5415223240852356,0.3955479806814438,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/transformer_h365_seed44_best_validation.pt
transformer,365,44,90,30,32,0.001,rolling_origin,342501.4375,462.27899169921875,17,0.5415223240852356,0.3955479806814438,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/transformer_h365_seed44_best_validation.pt
transformer,365,45,90,30,32,0.001,fixed_holdout,160364.75,304.2473449707031,17,0.5772840976715088,0.4042965769767761,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/transformer_h365_seed45_best_validation.pt
transformer,365,45,90,30,32,0.001,rolling_origin,362962.28125,483.0697326660156,17,0.5772840976715088,0.4042965769767761,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/transformer_h365_seed45_best_validation.pt
transformer,365,46,90,30,32,0.001,fixed_holdout,141174.921875,289.7542724609375,13,0.5549145340919495,0.3966574658695449,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/transformer_h365_seed46_best_validation.pt
transformer,365,46,90,30,32,0.001,rolling_origin,390198.4375,501.7081298828125,13,0.5549145340919495,0.3966574658695449,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/transformer_h365_seed46_best_validation.pt
pvg_itransformer,365,42,90,30,32,0.001,fixed_holdout,149237.5,293.76666259765625,13,0.5699313879013062,0.35470576495186895,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h365_seed42_best_validation.pt
pvg_itransformer,365,42,90,30,32,0.001,rolling_origin,293583.75,431.5825500488281,13,0.5699313879013062,0.35470576495186895,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h365_seed42_best_validation.pt
pvg_itransformer,365,43,90,30,32,0.001,fixed_holdout,141247.578125,291.207275390625,18,0.5563662052154541,0.36710478072492486,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h365_seed43_best_validation.pt
pvg_itransformer,365,43,90,30,32,0.001,rolling_origin,268535.65625,409.1280212402344,18,0.5563662052154541,0.36710478072492486,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h365_seed43_best_validation.pt
pvg_itransformer,365,44,90,30,32,0.001,fixed_holdout,148061.296875,294.8221740722656,14,0.5649994611740112,0.3526788145049006,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h365_seed44_best_validation.pt
pvg_itransformer,365,44,90,30,32,0.001,rolling_origin,296548.0,431.7115783691406,14,0.5649994611740112,0.3526788145049006,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h365_seed44_best_validation.pt
pvg_itransformer,365,45,90,30,32,0.001,fixed_holdout,143248.734375,297.2157897949219,14,0.5427083373069763,0.35525478766514706,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h365_seed45_best_validation.pt
pvg_itransformer,365,45,90,30,32,0.001,rolling_origin,268797.75,408.13836669921875,14,0.5427083373069763,0.35525478766514706,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h365_seed45_best_validation.pt
pvg_itransformer,365,46,90,30,32,0.001,fixed_holdout,140899.484375,289.97369384765625,17,0.5492417216300964,0.37386638155350316,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h365_seed46_best_validation.pt
pvg_itransformer,365,46,90,30,32,0.001,rolling_origin,301453.96875,436.4676208496094,17,0.5492417216300964,0.37386638155350316,140,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/pvg_itransformer_h365_seed46_best_validation.pt
