method,horizon,evaluation_protocol,mse,mae,fit_scope,test_start,test_end
train_month_climatology,90,fixed_holdout,102190.0691749009,261.04520209080056,train_only_571_days,2009-07-10,2009-10-07
train_month_climatology,365,fixed_holdout,153091.25493949253,301.9693194034153,train_only_571_days,2009-07-10,2010-07-09
