model_name,horizon,seed,input_len,validation_protocol,pvg_time_pooling,epochs,batch_size,lr,evaluation_protocol,test_mse,test_mae,best_epoch,best_validation_mse_norm,final_train_mse_norm,test_windows,validation_windows,train_windows,checkpoint_path
lstm,365,44,90,fixed_holdout,last,30,32,0.001,fixed_holdout,156966.875,305.736572265625,16,0.6340439915657043,0.3769094885414482,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/lstm_h365_seed44_best_validation.pt
lstm,365,45,90,fixed_holdout,last,30,32,0.001,fixed_holdout,157135.171875,313.765380859375,18,0.5971435904502869,0.385558418993257,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/lstm_h365_seed45_best_validation.pt
lstm,365,46,90,fixed_holdout,last,30,32,0.001,fixed_holdout,171038.765625,332.9982604980469,20,0.6026114225387573,0.3789093945270929,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/lstm_h365_seed46_best_validation.pt
transformer,365,42,90,fixed_holdout,last,30,32,0.001,fixed_holdout,145736.84375,296.23309326171875,17,0.5958004593849182,0.4005045610615331,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/transformer_h365_seed42_best_validation.pt
transformer,365,43,90,fixed_holdout,last,30,32,0.001,fixed_holdout,164993.609375,310.4091186523437,13,0.5850272178649902,0.3964079789116851,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/transformer_h365_seed43_best_validation.pt
transformer,365,44,90,fixed_holdout,last,30,32,0.001,fixed_holdout,153768.21875,295.8286437988281,17,0.5764959454536438,0.3987563525000189,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/transformer_h365_seed44_best_validation.pt
transformer,365,45,90,fixed_holdout,last,30,32,0.001,fixed_holdout,161379.140625,307.382568359375,17,0.5806901454925537,0.4024106628364987,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/transformer_h365_seed45_best_validation.pt
transformer,365,46,90,fixed_holdout,last,30,32,0.001,fixed_holdout,144914.703125,291.4056396484375,22,0.5502250790596008,0.3988917459789504,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/transformer_h365_seed46_best_validation.pt
pvg_itransformer,365,42,90,fixed_holdout,last,30,32,0.001,fixed_holdout,147458.921875,294.7465515136719,14,0.5736132264137268,0.3417463613371563,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/pvg_itransformer_h365_seed42_best_validation.pt
pvg_itransformer,365,43,90,fixed_holdout,last,30,32,0.001,fixed_holdout,145438.0,294.8803405761719,18,0.5687035322189331,0.356660606769415,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/pvg_itransformer_h365_seed43_best_validation.pt
pvg_itransformer,365,44,90,fixed_holdout,last,30,32,0.001,fixed_holdout,155037.046875,301.7304382324219,13,0.5668259859085083,0.3468036468212421,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/pvg_itransformer_h365_seed44_best_validation.pt
pvg_itransformer,365,45,90,fixed_holdout,last,30,32,0.001,fixed_holdout,149500.96875,297.8222961425781,14,0.5918493270874023,0.3445386919710371,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/pvg_itransformer_h365_seed45_best_validation.pt
pvg_itransformer,365,46,90,fixed_holdout,last,30,32,0.001,fixed_holdout,151069.390625,298.8916320800781,15,0.5903192162513733,0.3575563823056017,1,1,117,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/pvg_itransformer_h365_seed46_best_validation.pt
